,c,h,l,o,s,t,v
337,14.9177,15.32,14.7111,15.0643,ok,1578700800,1397398.3
338,15.3366,15.4707,14.8001,14.9137,ok,1578787200,2042903.51
339,15.1736,15.3572,14.9295,15.337,ok,1578873600,1522093.0
340,16.6371,16.91,15.1659,15.1735,ok,1578960000,2711583.22
341,17.6655,18.19,16.27,16.6301,ok,1579046400,3041574.63
342,17.0333,17.6923,16.31,17.6655,ok,1579132800,1842017.29
343,18.0724,18.4849,17.04,17.04,ok,1579219200,2734829.93
344,17.8088,18.3602,17.45,18.0763,ok,1579305600,1903293.0
345,17.388,18.495,16.6666,17.7954,ok,1579392000,2128210.74
346,17.3235,17.5516,16.8043,17.3706,ok,1579478400,1576499.08
347,18.1166,18.2,17.2228,17.3265,ok,1579564800,1923914.5
348,17.8344,18.4,17.55,18.1107,ok,1579651200,1607749.78
349,17.0524,17.8344,16.7441,17.8344,ok,1579737600,1363632.79
350,17.1148,17.4429,16.4288,17.0813,ok,1579824000,1411501.98
351,16.9555,17.1215,16.5685,17.1133,ok,1579910400,1211416.32
352,17.499,17.499,16.8315,16.9419,ok,1579996800,1619344.75
353,17.67,17.95,17.2198,17.4919,ok,1580083200,1562998.84
354,18.0662,18.16,17.4466,17.67,ok,1580169600,1916526.07
355,17.9134,18.4437,17.809,18.0614,ok,1580256000,1452764.7
356,18.5555,18.7027,17.7,17.9296,ok,1580342400,1787521.22
357,18.2644,18.88,17.8,18.5557,ok,1580428800,1647399.08
358,18.2752,18.5956,18.03,18.2644,ok,1580515200,1511588.86
359,18.4333,18.7714,17.8277,18.2753,ok,1580601600,1558716.52
360,18.46,18.8763,18.1959,18.4333,ok,1580688000,1314693.12
361,18.1778,18.6158,17.87,18.461,ok,1580774400,1215609.2
362,19.262,19.4583,18.1635,18.1778,ok,1580860800,2068915.04
363,20.6675,20.84,19.03,19.2686,ok,1580947200,2794537.34
364,22.0555,22.5221,20.5199,20.6665,ok,1581033600,3187751.23
365,21.8172,22.19,20.8943,22.036,ok,1581120000,1975842.48
