,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
533,2018-08-25,57.88000000,58.38000000,56.93000000,57.89000000,141200.40986000,141200.40986000,0.0,0.0,0.0
534,2018-08-24,57.30000000,58.36000000,55.50000000,57.82000000,162850.08326000,162850.08326000,44.975,43.648,42.958
535,2018-08-23,55.15000000,57.89000000,54.80000000,57.29000000,168194.87364000,168194.87364000,44.728,43.46,42.8553
536,2018-08-22,56.43000000,59.75000000,53.82000000,55.14000000,243024.91246000,243024.91246000,44.454,43.2525,42.747
537,2018-08-21,53.39000000,56.82000000,53.21000000,56.42000000,176189.09409000,176189.09409000,44.183,43.021,42.6473
538,2018-08-20,57.79000000,58.50000000,53.18000000,53.39000000,220297.28735000,220297.28735000,43.878,42.8065,42.5497
539,2018-08-19,57.04000000,58.98000000,56.10000000,57.67000000,183235.72610000,183235.72610000,0.0,0.0,0.0
540,2018-08-18,61.79000000,62.31000000,55.12000000,57.04000000,205917.54266000,205917.54266000,0.0,0.0,0.0
541,2018-08-17,55.32000000,61.89000000,54.99000000,61.75000000,230326.37031000,230326.37031000,43.532,42.5925,42.4797
542,2018-08-16,54.32000000,57.58000000,54.06000000,55.29000000,153625.58485000,153625.58485000,43.212,42.419,42.429
543,2018-08-15,54.26000000,59.20000000,53.70000000,54.32000000,232565.44512000,232565.44512000,42.947,42.234,42.3777
544,2018-08-14,56.50000000,56.50000000,49.20000000,54.24000000,230722.82945000,230722.82945000,42.707,42.0835,42.337
545,2018-08-13,59.21000000,60.61000000,55.52000000,56.44000000,192384.17619000,192384.17619000,42.53,42.0,42.3113
546,2018-08-12,57.73000000,61.55000000,57.02000000,59.32000000,173455.18347000,173455.18347000,0.0,0.0,0.0
547,2018-08-11,59.16000000,59.98000000,55.00000000,57.60000000,195460.35141000,195460.35141000,0.0,0.0,0.0
548,2018-08-10,62.84000000,63.14000000,58.12000000,59.16000000,181493.85537000,181493.85537000,42.321,41.9495,42.3027
549,2018-08-09,62.13000000,64.94000000,60.00000000,62.89000000,179209.22762000,179209.22762000,42.192,41.919,42.2843
550,2018-08-08,67.32000000,67.49000000,60.80000000,62.13000000,185720.38797000,185720.38797000,42.051,41.8935,42.2897
551,2018-08-07,73.67000000,75.24000000,66.58000000,67.35000000,164019.46827000,164019.46827000,41.859,41.8795,42.283
552,2018-08-06,74.60000000,76.70000000,72.35000000,73.62000000,137607.07273000,137607.07273000,41.735,41.8855,42.2743
553,2018-08-05,73.06000000,74.73000000,72.23000000,74.61000000,133945.84351000,133945.84351000,0.0,0.0,0.0
554,2018-08-04,77.63000000,78.15000000,72.10000000,73.13000000,148949.16457000,148949.16457000,0.0,0.0,0.0
555,2018-08-03,76.16000000,77.84000000,74.66000000,77.70000000,141502.89870000,141502.89870000,41.653,41.9535,42.2703
556,2018-08-02,77.62000000,78.46000000,75.33000000,76.11000000,134458.49970000,134458.49970000,41.626,42.0375,42.2793
557,2018-08-01,78.91000000,79.06000000,75.78000000,77.53000000,139634.79769000,139634.79769000,41.521,42.093,42.2713
558,2018-07-31,82.16000000,82.63000000,76.02000000,78.69000000,157911.80410000,157911.80410000,41.46,42.152,42.2857
559,2018-07-30,83.89000000,84.62000000,79.76000000,82.18000000,146947.05011000,146947.05011000,41.47,42.202,42.3107
560,2018-07-29,84.10000000,85.38000000,83.22000000,83.85000000,119512.75440000,119512.75440000,0.0,0.0,0.0
561,2018-07-28,84.39000000,84.70000000,82.26000000,84.07000000,124974.46990000,124974.46990000,0.0,0.0,0.0
562,2018-07-27,83.51000000,85.12000000,81.37000000,84.39000000,158734.44422000,158734.44422000,41.578,42.2935,42.357
563,2018-07-26,86.38000000,87.90000000,82.75000000,83.37000000,151787.84520000,151787.84520000,41.646,42.3305,42.357
564,2018-07-25,89.02000000,90.75000000,84.81000000,86.38000000,164176.79921000,164176.79921000,41.736,42.409,42.382
565,2018-07-24,81.43000000,89.79000000,80.79000000,89.12000000,207891.17573000,207891.17573000,41.9,42.495,42.4047
566,2018-07-23,82.20000000,85.96000000,81.10000000,81.38000000,143669.03549000,143669.03549000,42.036,42.544,42.4077
567,2018-07-22,83.42000000,84.20000000,81.78000000,82.21000000,137457.81650000,137457.81650000,0.0,0.0,0.0
568,2018-07-21,81.84000000,84.93000000,79.50000000,83.44000000,134142.44869000,134142.44869000,0.0,0.0,0.0
569,2018-07-20,86.10000000,86.69000000,80.72000000,81.87000000,172067.63126000,172067.63126000,42.254,42.579,42.4027
570,2018-07-19,86.26000000,89.00000000,84.80000000,86.00000000,154334.95177000,154334.95177000,42.449,42.606,42.391
571,2018-07-18,88.99000000,94.41000000,84.20000000,86.21000000,207474.92801000,207474.92801000,42.665,42.6465,42.395
572,2018-07-17,83.65000000,90.00000000,81.30000000,89.06000000,204689.47756000,204689.47756000,42.844,42.6985,42.4193
573,2018-07-16,78.54000000,84.28000000,77.60000000,83.49000000,182917.22074000,182917.22074000,42.934,42.731,42.4123
574,2018-07-15,76.19000000,79.50000000,75.10000000,78.54000000,149955.80081000,149955.80081000,0.0,0.0,0.0
575,2018-07-14,76.52000000,77.50000000,75.37000000,76.18000000,142798.45441000,142798.45441000,0.0,0.0,0.0
576,2018-07-13,76.82000000,78.60000000,74.96000000,76.53000000,167655.26932000,167655.26932000,43.009,42.7465,42.3807
577,2018-07-12,78.18000000,78.25000000,74.00000000,76.79000000,181966.74235000,181966.74235000,43.015,42.7125,42.3393
578,2018-07-11,75.79000000,80.98000000,75.31000000,78.18000000,192182.00671000,192182.00671000,43.082,42.705,42.2827
579,2018-07-10,80.58000000,80.62000000,74.25000000,75.81000000,211707.97169000,211707.97169000,43.09,42.657,42.2007
580,2018-07-09,82.26000000,83.12000000,79.80000000,80.46000000,164942.79095000,164942.79095000,43.052,42.5935,42.1063
581,2018-07-08,84.88000000,85.70000000,81.81000000,82.22000000,151162.89899000,151162.89899000,0.0,0.0,0.0
582,2018-07-07,83.10000000,85.35000000,79.40000000,84.79000000,161497.86946000,161497.86946000,0.0,0.0,0.0
583,2018-07-06,83.26000000,84.23000000,80.67000000,83.10000000,156241.98721000,156241.98721000,42.904,42.477,41.966
584,2018-07-05,85.23000000,87.11000000,81.77000000,83.33000000,170561.63319000,170561.63319000,42.763,42.362,41.792
585,2018-07-04,84.87000000,89.01000000,83.98000000,85.28000000,119209.87857000,119209.87857000,0.0,0.0,0.0
586,2018-07-03,85.36000000,90.00000000,83.64000000,85.09000000,192538.98749000,192538.98749000,42.628,42.26,41.6553
587,2018-07-02,79.96000000,87.06000000,78.11000000,85.36000000,171028.13169000,171028.13169000,42.553,42.207,41.5257
588,2018-07-01,81.34000000,81.83000000,77.73000000,79.95000000,145195.40481000,145195.40481000,0.0,0.0,0.0
589,2018-06-30,78.94000000,84.59000000,78.84000000,81.33000000,170407.29923000,170407.29923000,0.0,0.0,0.0
590,2018-06-29,74.24000000,80.79000000,72.15000000,78.94000000,182184.86448000,182184.86448000,42.528,42.1515,41.4087
591,2018-06-28,80.71000000,81.43000000,73.89000000,74.05000000,179829.06566000,179829.06566000,42.484,42.0665,41.286
592,2018-06-27,75.63000000,81.75000000,74.87000000,80.60000000,139175.33409000,139175.33409000,42.41,42.0015,41.1663
593,2018-06-26,81.48000000,81.99000000,75.00000000,75.54000000,118123.18034000,118123.18034000,42.328,41.883,41.0347
594,2018-06-25,80.46000000,84.38000000,78.55000000,81.48000000,164736.37327000,164736.37327000,42.224,41.756,40.9233
595,2018-06-24,82.76000000,83.63000000,73.22000000,80.37000000,250304.81918000,250304.81918000,0.0,0.0,0.0
596,2018-06-23,84.75000000,86.77000000,81.31000000,82.73000000,165849.75562000,165849.75562000,0.0,0.0,0.0
597,2018-06-22,96.74000000,96.87000000,80.02000000,84.80000000,232108.91398000,232108.91398000,42.135,41.6335,40.815
598,2018-06-21,97.72000000,99.30000000,96.00000000,96.72000000,137564.82500000,137564.82500000,42.05,41.497,40.6763
599,2018-06-20,98.67000000,99.13000000,95.21000000,97.72000000,141985.64173000,141985.64173000,41.961,41.3065,40.5097
