,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
16,2020-01-24,325.09000000,327.95000000,297.00000000,318.83000000,217601.81697000,217601.81697000,21.561,21.6095,21.7787
17,2020-01-23,349.11000000,350.15000000,316.36000000,325.21000000,135190.02823000,135190.02823000,21.762,21.675,21.823
18,2020-01-22,343.50000000,354.52000000,339.16000000,349.22000000,96093.49399000,96093.49399000,21.917,21.7255,21.8563
19,2020-01-21,343.38000000,348.22000000,332.05000000,343.50000000,107803.73807000,107803.73807000,21.944,21.7365,21.8823
20,2020-01-20,339.54000000,352.94000000,322.46000000,343.39000000,171058.37052000,171058.37052000,0.0,0.0,0.0
21,2020-01-19,338.79000000,366.27000000,319.78000000,339.61000000,305020.88339000,305020.88339000,0.0,0.0,0.0
22,2020-01-18,367.98000000,405.86000000,330.00000000,339.01000000,482356.86961000,482356.86961000,0.0,0.0,0.0
23,2020-01-17,326.58000000,383.92000000,319.46000000,368.00000000,395293.42180000,395293.42180000,22.027,21.785,21.9153
24,2020-01-16,340.00000000,342.96000000,309.20000000,326.76000000,247311.30454000,247311.30454000,22.074,21.8405,21.8703
25,2020-01-15,348.35000000,362.89000000,312.62000000,339.99000000,498653.95613000,498653.95613000,22.009,21.883,21.8187
26,2020-01-14,267.24000000,368.08000000,267.14000000,348.35000000,827847.55896000,827847.55896000,21.896,21.9225,21.7683
27,2020-01-13,270.85000000,272.99000000,261.06000000,267.21000000,91495.50923000,91495.50923000,21.798,21.925,21.7243
28,2020-01-12,260.69000000,271.39000000,257.85000000,270.77000000,105180.61526000,105180.61526000,0.0,0.0,0.0
29,2020-01-11,271.95000000,279.49000000,258.68000000,260.83000000,199691.49268000,199691.49268000,0.0,0.0,0.0
30,2020-01-10,238.06000000,275.00000000,231.13000000,271.83000000,311448.58074000,311448.58074000,21.71,21.8995,21.6887
31,2020-01-09,240.13000000,243.89000000,231.26000000,238.01000000,109003.33057000,109003.33057000,21.658,21.8875,21.6697
32,2020-01-08,242.48000000,255.19000000,229.59000000,240.19000000,238290.07035000,238290.07035000,21.588,21.8535,21.6473
33,2020-01-07,244.26000000,246.90000000,232.00000000,242.30000000,180860.80127000,180860.80127000,21.534,21.826,21.6353
34,2020-01-06,222.82000000,247.00000000,222.20000000,244.25000000,177504.59026000,177504.59026000,21.529,21.8515,21.659
35,2020-01-05,224.45000000,227.63000000,220.60000000,222.79000000,90338.28418000,90338.28418000,0.0,0.0,0.0
36,2020-01-04,222.38000000,227.64000000,219.56000000,224.47000000,110315.64423000,110315.64423000,0.0,0.0,0.0
37,2020-01-03,195.49000000,226.00000000,191.90000000,222.43000000,236151.17473000,236151.17473000,21.543,21.8595,21.6943
38,2020-01-02,204.43000000,205.53000000,192.80000000,195.49000000,76481.14050000,76481.14050000,21.607,21.7685,21.757
39,2020-01-01,204.57000000,209.00000000,203.10000000,204.44000000,43234.95850000,43234.95850000,0.0,0.0,0.0
40,2019-12-31,208.61000000,214.11000000,201.73000000,204.52000000,89320.43252000,89320.43252000,21.757,21.7235,21.876
41,2019-12-30,212.29000000,215.00000000,205.65000000,208.62000000,76221.01161000,76221.01161000,21.949,21.7045,21.9687
42,2019-12-29,206.26000000,215.94000000,204.34000000,212.34000000,80763.47218000,80763.47218000,0.0,0.0,0.0
43,2019-12-28,203.33000000,210.00000000,202.53000000,206.27000000,81593.20921000,81593.20921000,0.0,0.0,0.0
44,2019-12-27,187.70000000,203.92000000,186.83000000,203.21000000,120980.63718000,120980.63718000,22.052,21.6875,21.9753
45,2019-12-26,185.34000000,194.99000000,184.01000000,187.79000000,48012.30969000,48012.30969000,22.089,21.678,21.987
46,2019-12-25,188.31000000,188.78000000,182.69000000,185.34000000,31724.59117000,31724.59117000,0.0,0.0,0.0
47,2019-12-24,189.66000000,191.68000000,185.00000000,188.30000000,50765.49176000,50765.49176000,22.117,21.6755,22.002
48,2019-12-23,196.28000000,198.00000000,188.20000000,189.61000000,57146.55220000,57146.55220000,22.119,21.677,22.083
49,2019-12-22,186.21000000,197.40000000,185.73000000,196.27000000,54636.39805000,54636.39805000,0.0,0.0,0.0
50,2019-12-21,187.39000000,188.43000000,185.33000000,186.21000000,19488.47281000,19488.47281000,0.0,0.0,0.0
