,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
115,2019-10-17,174.52000000,178.96000000,172.61000000,177.16000000,298795.81980000,298795.81980000,18.647,18.689,18.7067
116,2019-10-16,180.52000000,181.44000000,171.81000000,174.47000000,347764.93459000,347764.93459000,18.623,18.6865,18.6423
117,2019-10-15,186.70000000,188.37000000,175.96000000,180.49000000,405466.38109000,405466.38109000,18.634,18.7035,18.5827
118,2019-10-14,180.98000000,187.54000000,180.43000000,186.72000000,279732.84612000,279732.84612000,18.672,18.733,18.5257
119,2019-10-13,179.65000000,184.95000000,178.52000000,180.99000000,247589.23231000,247589.23231000,0.0,0.0,0.0
120,2019-10-12,180.65000000,184.64000000,177.59000000,179.68000000,290415.22038000,290415.22038000,0.0,0.0,0.0
121,2019-10-11,191.18000000,196.65000000,179.41000000,180.72000000,621693.63125000,621693.63125000,18.706,18.765,18.485
122,2019-10-10,192.61000000,194.20000000,186.88000000,191.14000000,436588.58452000,436588.58452000,18.704,18.7955,18.4467
123,2019-10-09,180.61000000,195.53000000,178.96000000,192.62000000,562506.82189000,562506.82189000,18.743,18.8335,18.4043
124,2019-10-08,179.88000000,184.87000000,177.00000000,180.60000000,400832.37828000,400832.37828000,18.754,18.8285,18.3617
125,2019-10-07,170.08000000,182.32000000,168.68000000,179.85000000,496523.48038000,496523.48038000,18.729,18.798,18.3303
126,2019-10-06,176.23000000,177.04000000,167.68000000,170.10000000,314932.39629000,314932.39629000,0.0,0.0,0.0
127,2019-10-05,175.55000000,176.71000000,172.02000000,176.25000000,278488.61771000,278488.61771000,0.0,0.0,0.0
128,2019-10-04,174.71000000,178.98000000,170.74000000,175.55000000,333897.63876000,333897.63876000,18.705,18.7725,18.314
129,2019-10-03,180.24000000,180.72000000,169.55000000,174.69000000,354756.78478000,354756.78478000,18.731,18.7365,18.3003
130,2019-10-02,175.65000000,181.29000000,173.65000000,180.24000000,348268.11620000,348268.11620000,18.75,18.652,18.2813
131,2019-10-01,180.89000000,185.53000000,173.19000000,175.66000000,609819.60828000,609819.60828000,18.773,18.557,18.2503
132,2019-09-30,169.26000000,181.24000000,165.01000000,180.85000000,580295.39970000,580295.39970000,18.794,18.4525,18.2137
133,2019-09-29,173.50000000,174.50000000,164.12000000,169.24000000,410855.12176000,410855.12176000,0.0,0.0,0.0
134,2019-09-28,173.83000000,175.49000000,168.00000000,173.49000000,521775.46593000,521775.46593000,0.0,0.0,0.0
135,2019-09-27,165.92000000,176.72000000,161.03000000,173.79000000,634932.96707000,634932.96707000,18.824,18.3745,18.1747
136,2019-09-26,169.96000000,171.01000000,152.11000000,165.92000000,779942.17148000,779942.17148000,18.887,18.318,18.149
137,2019-09-25,165.72000000,174.85000000,161.88000000,169.96000000,879001.46213000,879001.46213000,18.924,18.235,18.1233
138,2019-09-24,201.25000000,202.98000000,150.03000000,165.81000000,1478218.82714000,1478218.82714000,18.903,18.1655,18.0857
139,2019-09-23,211.20000000,211.68000000,198.65000000,201.29000000,392437.07084000,392437.07084000,18.867,18.131,18.056
140,2019-09-22,215.04000000,215.61000000,206.10000000,211.20000000,445388.94787000,445388.94787000,0.0,0.0,0.0
141,2019-09-21,218.01000000,221.50000000,213.20000000,215.05000000,417891.52420000,417891.52420000,0.0,0.0,0.0
142,2019-09-20,220.26000000,221.54000000,212.05000000,218.03000000,437804.12669000,437804.12669000,18.84,18.1185,18.0437
143,2019-09-19,210.27000000,223.94000000,202.30000000,220.24000000,844358.82155000,844358.82155000,18.742,18.085,18.0163
144,2019-09-18,207.85000000,217.27000000,207.66000000,210.21000000,539028.51013000,539028.51013000,18.554,18.047,17.9647
145,2019-09-17,197.23000000,215.13000000,195.74000000,207.84000000,715863.22620000,715863.22620000,18.341,17.989,17.9137
146,2019-09-16,189.05000000,199.44000000,188.30000000,197.22000000,551006.81686000,551006.81686000,18.111,17.9235,17.8433
